Grade,Assignment 1,Assignment 2
0,0,0
2,0,0
4,0,0
6,0,0
8,0,0
10,0,29
12,0,0
14,10,0
16,0,0
18,0,0
20,0,5
22,0,0
24,0,1
26,0,0
28,0,0
30,1,2
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,5,1
46,0,0
48,0,0
50,0,0
52,0,0
54,0,1
56,0,0
58,0,0
60,5,0
62,0,0
64,0,2
66,0,0
68,0,0
70,2,2
72,0,0
74,4,0
76,0,0
78,0,0
80,0,2
82,0,0
84,9,1
86,0,0
88,0,0
90,3,3
92,0,0
94,0,1
96,0,0
98,0,0
100,51,31
